sex,C2745_1,C2745_2,Kettin_1,Kettin_2,Tpi_1,Tpi_2,Catalase_1,Catalase_2,C5197_1,C5197_2,Masc_1,Masc_2,Shaker_1,Shaker_2,Ldh_1,Ldh_2
2, 1, 1, 1, 1, 2, 2, 1, 1, 9, 1, 11, 4, 6, 5, 2, 5
2, 1, 9, 2, 1, 4, 3, 1, 2, 1, 3, 1, 5, 1, 4, 2, 6
2, 1, 1, 1, 2, 6, 1, 3, 2, 1, 2, 1, 3, 5, 1, 5, 1
2, 4, 2, 2, 3, 8, 7, 1, 1, 4, 1, 4, 2, 7, 3, 12, 3
2, 1, 2, 1, 3, 2, 1, 1, 4, 5, 1, 5, 1, 4, 1, 5, 1
2, 3, 5, 2, 3, 1, 7, 4, 2, 7, 2, 8, 3, 5, 1, 5, 2
2, 3, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 4, 1
2, 2, 1, 3, 1, 7, 1, 1, 2, 1, 3, 2, 12, 3, 1, 3, 2
2, 2, 1, 3, 1, 7, 2, 5, 1, 6, 1, 6, 2, 9, 2, 8, 4
2, 4, 3, 2, 2, 9, 8, 1, 2, 6, 5, 6, 9, 4, 2, 6, 1
2, 1, 10, 1, 2, 2, 1, 1, 6, 5, 1, 9, 1, 2, 1, 2, 1
2, 1, 2, 1, 3, 4, 7, 1, 5, 1, 6, 1, 6, 1, 9, 2, 8
2, 7, 1, 4, 1, 1, 5, 1, 2, 4, 11, 4, 15, 1, 1, 1, 1
2, 6, 1, 2, 1, 1, 5, 2, 1, 1, 4, 7, 4, 7, 1, 6, 1
2, 2, 4, 3, 1, 7, 2, 5, 2, 6, 1, 6, 7, 9, 7, 8, 6
2, 2, 1, 3, 1, 1, 3, 1, 1, 2, 1, 3, 10, 6, 6, 7, 7
2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 3, 2, 3
2, 1, 1, 1, 1, 5, 3, 2, 1, 11, 5, 15, 9, 1, 7, 1, 6
2, 5, 1, 4, 1, 6, 5, 2, 1, 10, 1, 13, 2, 8, 3, 10, 3
2, 1, 1, 1, 1, 2, 2, 1, 1, 9, 5, 11, 9, 6, 2, 2, 2
2, 6, 3, 2, 2, 1, 1, 2, 4, 1, 7, 1, 8, 3, 5, 3, 5
2, 3, 4, 2, 2, 7, 3, 5, 2, 2, 10, 3, 13, 1, 8, 2, 10
2, 5, 1, 4, 1, 6, 2, 3, 1, 8, 1, 6, 7, 4, 1, 4, 1
2, 6, 4, 1, 2, 1, 8, 2, 1, 1, 5, _, 9, 3, 6, 3, 7
2, 9, 1, 1, 1, 3, 4, 2, 2, 3, 4, 5, 4, 4, 1, 6, 1
2, 1, 9, 2, 4, 1, 3, 2, 1, 7, 1, 8, 10, 1, 6, 2, 7
2, 6, 3, 2, 2, 1, 1, 2, 4, 1, 7, 1, 8, 3, 5, 3, 5
2, 2, 5, 3, 4, 1, 6, 1, 2, 2, 9, 3, 11, 6, 1, 9, 1
2, 1, 3, 1, 2, 1, 4, 2, 1, 3, 1, 12, 1, 1, 2, 2, 2
2, 4, 7, 1, 3, 5, 1, 1, 4, 1, 7, 2, 8, 7, 5, 6, 5
2, 3, 1, 2, 1, 1, 2, 4, 1, 7, 5, 8, 5, 5, 4, 5, 5
2, 5, 3, 4, 2, 6, 1, 3, 2, 8, 1, 10, 1, 4, 2, 4, 4
2, 1, 1, 1, 2, 2, 4, 2, 2, 3, 4, 12, 4, 2, 4, 7, 9
2, 3, 2, 2, 3, 4, 1, 1, 1, 1, 2, 1, 3, 2, 6, 2, 9
2, 4, 3, 2, 2, 9, 4, 1, 2, 6, 9, 6, 11, 4, 2, 11, 2
2, 1, 5, 2, 4, 8, 6, 2, 2, 1, 10, 1, 13, 2, 8, 4, 10
2, 1, 1, 2, 1, 1, 5, 2, 1, 6, 1, 6, 2, 10, 3, 4, 4
2, 1, 4, 1, 2, 2, 8, 1, 1, 1, 4, 1, 4, 2, 7, 4, 12
2, 1, 2, 1, 3, 5, 7, 1, 5, 1, 4, 2, 4, 3, 1, 4, 6
2, 7, 1, 4, 1, 1, 3, 1, 2, 4, 3, 4, 5, 1, 3, 1, 3
2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 1, 1, 4
2, 2, 2, 1, 3, 2, 7, 1, 5, 1, 6, 4, 6, 5, 9, 5, 8
2, 1, 1, 1, 2, 4, 4, 2, 2, 4, 2, 4, 3, 1, 2, 1, 4
2, 1, 2, 1, 3, 4, 3, 2, 2, 4, 3, 4, 12, 1, 3, 1, 3
2, 6, 9, 2, 1, 1, 3, 2, 2, 1, 3, 7, 5, 7, 4, 6, 6
2, 6, 5, 1, 4, 1, 6, 2, 3, 1, 8, 1, 2, 1, 4, 1, 4
2, 5, 1, 4, 1, 6, 3, 2, 2, 10, 7, 13, 8, 8, 5, 10, 5
2, 3, 1, 2, 2, 2, 4, 1, 1, 1, 3, 2, 5, 1, 2, 1, 9
2, 1, 1, 1, 2, 4, 4, 1, 2, 1, 4, 1, 4, 1, 4, 2, 9
2, 1, 1, 1, 1, 3, 3, 1, 2, 1, 3, 1, 5, 2, 3, 2, 3
2, 1, 1, 1, 2, 3, 1, 1, 2, 1, 6, 10, 6, 6, 10, 7, 4
2, 1, 10, 2, 1, 4, 1, 2, 1, 4, 8, 4, _, 4, 2, 9, 2
2, 1, 1, 1, 1, 2, 5, 1, 1, 1, 4, 7, 4, 1, 1, 1, 1
2, 4, 10, 2, 1, 3, 1, 2, 1, 2, 8, 3, _, 5, 2, 5, 2
2, 7, 1, 4, 1, 1, 3, 1, 2, 1, 7, 1, 8, 2, 5, 2, 5
2, 1, 8, 1, 1, 2, 4, 1, 2, 1, 4, 2, 4, 2, 1, 4, 1
2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 2, 2, 4
2, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 7, 3, 1, 6, 1, 9
2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 2, 12, 3, 1, 3, 2
2, 1, 1, 1, 2, 2, 4, 2, 1, 3, 1, 12, 1, 2, 1, 7, 2
2, 3, 1, 2, 1, 1, 4, 2, 1, 5, 1, 9, 1, 1, 1, 2, 2
2, 8, 2, 2, 2, 1, 1, 1, 2, 2, 1, 3, 1, 1, 2, 2, 3
2, 1, 4, 1, 2, 2, 3, 1, 2, 1, 10, 2, 13, 1, 8, 4, 10
2, 1, 1, 1, 2, 2, 1, 1, 2, 9, 2, 11, 3, 6, 1, 6, 2
2, 2, 2, 3, 3, 7, 1, 5, 1, 4, 2, 4, 3, 1, 6, 6, 7
2, 4, 1, 1, 2, 2, 1, 2, 2, 1, 2, 7, 3, 7, 1, 6, 2
2, 1, 4, 2, 2, 1, 8, 2, 2, 2, 1, 3, 2, 1, 3, 2, 3
2, 1, 9, 2, 1, 4, 2, 1, 2, 1, 3, 2, 5, 3, 4, 3, 6
2, 1, 8, 2, 2, 1, 5, 2, 2, 6, 4, 6, 4, 10, 4, 4, 6
2, 4, 1, 2, 1, 3, 2, 2, 1, 10, 1, 13, 7, 8, 1, 10, 1
2, 1, 1, 2, 1, 8, 3, 2, 1, 1, 5, 1, 9, 2, 7, 4, 6
2, 5, 4, 4, 2, 6, 3, 3, 2, 8, 2, 2, 3, 4, 5, 4, 5
2, 10, 2, 2, 3, 1, 3, 6, 2, 1, 3, 1, 5, 1, 2, 1, 2
2, 2, 11, 3, 1, 7, 2, 5, 1, 6, 1, 6, 2, 9, 3, 8, 3
2, 1, 2, 1, 3, 3, 5, 1, 1, 5, 1, 9, 2, 7, 3, 6, 3
2, 4, 4, 2, 2, 8, 9, 1, 1, 4, 6, 4, 6, 7, 4, 12, 11
2, 5, 1, 3, 1, 7, 6, 2, 3, 2, 1, 3, 1, 1, 5, 2, 5
2, 3, 9, 2, 1, 2, 2, 1, 1, 1, 3, 2, 5, 1, 4, 1, 6
2, 8, 10, 1, 2, 4, 1, 2, 6, 4, 1, 4, 1, 1, 1, 1, 1
2, 1, 7, 1, 4, 2, 1, 1, 1, 1, 4, 4, 4, 5, 1, 5, 1
2, 4, 1, 2, 2, 8, 1, 2, 2, 1, 2, 2, 3, 3, 1, 3, 2
2, 4, 8, 2, 2, 8, 1, 1, 1, 5, 2, 9, 3, 6, 1, 7, 2
2, 3, 6, 2, 1, 4, 1, 2, 2, 9, 1, 11, 1, 2, 1, 2, 1
2, 5, 1, 4, 2, 6, 1, 3, 2, 8, 2, 10, 3, 4, 1, 4, 2
2, 3, 3, 2, 2, 1, 1, 1, 4, 1, 7, 2, 8, 3, 5, 3, 5
2, 3, 1, 2, 2, 8, 4, 2, 1, 5, 3, 9, 5, 2, 2, 1, 9
2, 4, 1, 2, 1, 3, 6, 2, 3, 3, 1, 5, 1, 3, 5, 1, 5
2, 10, 6, 1, 2, 1, 1, 1, 2, 8, 1, _, 1, 2, 3, 2, 3
2, 4, 5, 1, 4, 2, 6, 2, 3, 1, 8, 7, 6, 7, 4, 6, 4
2, 1, 1, 2, 1, 1, 4, 2, 2, 7, 4, 8, 4, 1, 1, 2, 1
2, 4, 1, 2, 1, 9, 3, 1, 1, 6, 1, 6, 10, 4, 6, 11, 7
2, 1, 2, 1, 1, 2, 2, 1, 1, 5, 1, 5, 4, 4, 5, 5, 5
2, 3, 4, 2, 2, 5, 3, 2, 2, 1, 2, 10, 3, 6, 5, 4, 5
2, 1, 7, 1, 4, 2, 1, 1, 1, 1, 4, 2, 4, 1, 1, 1, 1
2, 1, 1, 1, 2, 2, 4, 1, 1, 9, 1, 11, 2, 6, 3, 6, 3
2, 4, 4, 2, 2, 8, 9, 2, 1, 1, 6, 2, 6, 3, 4, 3, 11
2, 2, 1, 3, 1, 7, 2, 1, 1, 1, 9, 2, 11, 3, 6, 3, 2
2, 8, 1, 2, 1, 1, 5, 1, 2, 2, 11, 3, 15, 1, 1, 2, 1
2, 1, 8, 1, 2, 1, 1, 2, 1, 3, 2, 12, 3, 1, 1, 2, 2
2, 1, 4, 2, 2, 4, 3, 1, 2, 3, 10, 5, 13, 2, 8, 9, 10
2, 7, 1, 3, 1, 1, 3, 4, 1, 7, 1, 8, 1, 5, 2, 5, 2
2, 2, 4, 3, 2, 1, 3, 4, 2, 1, 10, 1, 13, 1, 8, 1, 10
2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 9, 2, 11, 1, 6, 1, 6
2, 1, 1, 1, 1, 2, 5, 1, 1, 5, 1, 9, 2, 2, 3, 2, 4
2, 6, 5, 5, 1, 1, 8, 2, 1, 1, 2, 7, 3, 1, 1, 1, 1
2, 4, 2, 2, 3, 3, 7, 2, 5, 3, 6, 5, 6, 3, 9, 1, 8
2, 2, 1, 3, 1, 7, 3, 5, 1, 6, 1, 6, 10, 9, 6, 8, 7
2, 1, 1, 2, 1, 4, 2, 1, 1, 1, 5, 2, 5, 3, 4, 3, 5
2, 1, 5, 1, 4, 3, 6, 2, 3, 3, 8, 5, 2, 3, 4, 3, 4
2, 1, 1, 2, 1, 4, 2, 2, 1, 2, 1, 3, 2, 2, 1, 4, 4
2, 1, 1, 2, 2, 1, 8, 2, 2, 2, 1, 3, 1, 1, 2, 2, 4
2, 1, 1, 1, 1, 3, 3, 2, 1, 7, 1, 8, 1, 5, 2, 5, 2
2, 10, 3, 2, 2, 1, 1, 6, 4, 1, 2, 1, 3, 1, 1, 1, 2
2, 10, 3, 1, 2, 1, 1, 1, 1, 8, 1, _, 2, 2, 3, 2, 3
2, 8, 3, 2, 2, 5, 1, 2, 2, 4, 1, 4, 1, 4, 2, 6, 4
2, 3, 5, 2, 4, 7, 6, 5, 2, 2, 10, 3, 13, 1, 8, 2, 10
2, 5, 6, 4, 2, 6, 4, 2, 2, 9, 1, 11, _, 1, 4, 1, _
2, 4, 10, 2, 2, 8, 1, 1, 6, 5, 1, 9, 1, 6, 1, 7, 1
2, 4, 6, 2, 2, 8, 1, 1, 2, 7, 1, 8, 7, 5, 7, 5, 6
2, 1, 3, 1, 2, 3, 7, 2, 5, 1, 2, 1, 3, 2, 1, 2, 2
2, 9, 1, 1, 2, 2, 4, 2, 1, 3, 1, 5, 2, 4, 3, 6, 3
2, 3, 4, 2, 2, 5, 8, 2, 1, 1, 7, 10, 8, 6, 5, 4, 5
2, 2, 1, 3, 2, 7, 4, 5, 2, 6, 2, 6, 3, 9, 2, 8, 4
2, 6, 7, 5, 3, 1, 1, 2, 4, 1, 7, 7, 8, 1, 5, 1, 5
2, 5, 5, 4, 3, 6, 7, 3, 2, 8, 2, 6, 3, 4, 1, 4, 2
2, 1, 9, 1, 1, 5, 2, 1, 1, 1, 3, 2, 5, 3, 4, 3, 6
2, 1, 3, 2, 2, 4, 8, 1, 2, 1, 5, 2, 9, 3, 2, 3, 1
2, 2, 3, 3, 2, 3, 4, 2, 1, 3, 1, 5, 1, 2, 2, 2, 2
2, 7, 4, 4, 2, 1, 9, 1, 1, 1, 6, 1, 6, 2, 4, 2, 6
2, 1, 6, 1, 2, 3, 1, 2, 2, 7, 1, 8, 7, 5, 7, 5, 6
2, 7, 6, 3, 2, 1, 1, 4, 2, 7, 1, 8, 1, 5, 3, 5, 3
2, 1, 7, 1, 4, 1, 1, 2, 1, 2, 1, 3, 1, 1, 2, 1, 2
2, 3, 1, 2, 2, 8, 4, 2, 1, 5, 1, 9, 2, 2, 3, 1, 3
2, 5, 6, 3, 5, 7, 1, 2, 2, 2, 1, 3, 7, 1, 1, 2, 1
2, 3, 3, 2, 2, 4, 1, 2, 4, 9, 2, 11, 3, 2, 1, 2, 2
2, 2, 5, 3, 4, 5, 6, 1, 3, 1, 8, 2, 6, 3, 4, 3, 4
2, 1, 3, 1, 2, 2, 7, 1, 5, 1, 2, 7, 3, 1, 1, 1, 2
2, 2, 1, 3, 1, 3, 6, 2, 3, 3, 1, 12, 1, 3, 5, 3, 5
2, 3, 4, 2, 2, 1, 9, 1, 1, 1, 6, 2, 6, 3, 4, 3, 6
2, 9, 1, 1, 2, 3, 4, 2, 1, 3, 1, 5, 1, 4, 1, 6, 2
2, 1, 1, 1, 1, 3, 3, 1, 2, 5, 1, 9, 1, 7, 2, 6, 2
2, 3, 4, 2, 2, 1, 8, 4, 1, 2, 4, 3, 4, 1, 7, 2, 12
2, 1, 5, 1, 1, 5, 8, 2, 1, 11, 2, 15, 3, 1, 1, 1, 1
2, 1, 2, 1, 3, 1, 7, 2, 5, 2, 6, 3, 6, 1, 9, 1, 8
2, 1, 2, 1, 3, 2, 7, 1, 5, 1, 4, 7, 4, 1, 1, 1, 6
2, 4, 7, 2, 4, 3, 1, 2, 1, 2, 1, 3, 1, 5, 2, 5, 2
2, 9, 7, 4, 4, 3, 1, 1, 1, 1, 4, 10, 4, 6, 1, 7, 1
2, 2, _, 3, 1, 1, 3, 1, 2, 2, 1, 3, 7, 6, 3, 7, 1
2, 6, 2, 2, 3, 4, 7, 2, 5, 1, 6, _, 6, 4, 9, _, 8
2, 5, 4, 4, 2, 6, 8, 2, 2, 9, 1, 11, 2, 1, 3, 1, 3
2, 2, 2, 3, 3, 7, 3, 5, 2, 4, 3, 4, 12, 1, 3, 6, 3
2, 10, 1, 2, 1, 1, 2, 6, 1, 1, 9, 1, 11, 1, 6, 1, 6
2, 3, 1, 2, 1, 1, 3, 4, 1, 2, 1, 3, 10, 1, 6, 2, 7
2, 3, 1, 2, 1, 1, 2, 2, 2, 5, 1, 9, 14, 1, 6, 2, 1
2, 1, 8, 2, 2, 4, 5, 1, 2, 1, 4, 1, 4, 1, 4, 2, 6
2, 1, 2, 1, 3, 2, 3, 1, 2, 1, 3, 1, 5, 2, 2, 4, 2
2, 1, 3, 1, 2, 3, 1, 1, 2, 1, 5, 10, 9, 6, 1, 7, 2
2, 1, 6, 2, 1, 4, 1, 2, 2, 4, 1, 4, _, 4, 3, 9, 3
2, 8, 7, 1, 4, 4, 1, 2, 1, 4, 1, 4, 1, 1, 2, 1, 2
2, 1, 4, 1, 1, 5, 5, 1, 1, 4, 1, 4, 2, 1, 7, 1, 6
2, 9, 6, 1, 1, 2, 1, 1, 2, 3, 1, 5, _, 4, 3, 6, 3
2, 2, 1, 3, 1, 1, 5, 1, 1, 2, 1, 3, 2, 6, 3, 9, 3
2, 1, 1, 1, 1, 3, 2, 2, 1, 3, 1, 5, 2, 3, 1, 3, 1
2, 4, 6, 2, 1, 3, 1, 2, 2, 10, 1, 13, 1, 8, 1, 10, 1
2, 1, 4, 1, 2, 2, 8, 2, 1, 1, 7, 14, 8, 6, 5, 1, 5
2, 2, 4, 3, 1, 3, 2, 2, 2, 3, 1, 12, 7, 3, 7, 3, 6
2, 1, 7, 2, 4, 4, 1, 1, 1, 1, 4, 2, 4, 3, 1, 3, 1
2, 1, 2, 2, 2, 4, 1, 2, 2, 2, 1, 3, 1, 2, 2, 4, 3
2, 1, 2, 2, 3, 4, 5, 1, 1, 3, 1, 5, 2, 2, 3, 9, 3
1,_,_,1,_,3,_,2,_,1,_,7,_,3,_,1,_
1,5,_,4,_,6,_,2,_,9,_,11,_,1,_,1,_
1,1,_,2,_,4,_,1,_,1,_,2,_,3,_,3,_
1,2,_,3,_,3,_,2,_,3,_,12,_,3,_,3,_
1,8,_,2,_,5,_,2,_,4,_,4,_,4,_,6,_
1,9,_,1,_,3,_,2,_,3,_,5,_,4,_,6,_
1,10,_,1,_,1,_,1,_,8,_,_,_,2,_,2,_
1,3,_,2,_,1,_,4,_,7,_,8,_,5,_,5,_
1,1,_,2,_,4,_,1,_,1,_,2,_,3,_,3,_
1,1,_,1,_,3,_,2,_,3,_,5,_,3,_,3,_
1,7,_,3,_,1,_,4,_,7,_,8,_,5,_,5,_
1,8,_,1,_,4,_,2,_,4,_,4,_,1,_,1,_
1,1,_,1,_,2,_,1,_,5,_,9,_,2,_,2,_
1,1,_,1,_,2,_,1,_,1,_,7,_,1,_,1,_
1,2,_,3,_,5,_,1,_,1,_,2,_,3,_,3,_
1,2,_,3,_,7,_,5,_,4,_,4,_,1,_,6,_
1,4,_,2,_,8,_,1,_,5,_,9,_,6,_,7,_
1,1,_,1,_,5,_,1,_,1,_,2,_,3,_,4,_
1,1,_,1,_,5,_,1,_,4,_,4,_,1,_,1,_
1,9,_,4,_,3,_,1,_,1,_,10,_,6,_,7,_
1,6,_,1,_,1,_,2,_,1,_,_,_,3,_,3,_
1,1,_,1,_,5,_,1,_,1,_,2,_,3,_,3,_
1,1,_,1,_,6,_,3,_,1,_,1,_,5,_,5,_
1,1,_,2,_,1,_,2,_,2,_,3,_,1,_,2,_
1,1,_,1,_,6,_,3,_,1,_,1,_,5,_,5,_
1,1,_,2,_,8,_,2,_,1,_,1,_,2,_,4,_
1,7,_,4,_,1,_,1,_,4,_,4,_,1,_,1,_
1,9,_,1,_,2,_,2,_,3,_,5,_,4,_,6,_
1,3,_,2,_,1,_,2,_,1,_,1,_,2,_,4,_
1,1,_,1,_,2,_,1,_,1,_,2,_,1,_,1,_
1,2,_,1,_,2,_,1,_,1,_,4,_,5,_,5,_
1,1,_,2,_,1,_,2,_,7,_,8,_,1,_,2,_
1,7,_,4,_,1,_,1,_,4,_,4,_,1,_,1,_
1,3,_,2,_,7,_,5,_,2,_,3,_,1,_,2,_
1,7,_,4,_,1,_,1,_,1,_,1,_,2,_,2,_
1,2,_,3,_,1,_,1,_,2,_,3,_,6,_,7,_
1,1,_,1,_,2,_,1,_,1,_,2,_,3,_,3,_
1,8,_,2,_,1,_,1,_,2,_,3,_,1,_,2,_
1,8,_,2,_,1,_,2,_,1,_,14,_,4,_,11,_
1,2,_,3,_,1,_,4,_,1,_,1,_,1,_,1,_
1,10,_,2,_,1,_,6,_,1,_,1,_,1,_,1,_
1,4,_,2,_,3,_,2,_,2,_,3,_,5,_,5,_
1,1,_,1,_,3,_,1,_,1,_,1,_,2,_,2,_
1,1,_,2,_,4,_,1,_,3,_,5,_,2,_,9,_
1,1,_,1,_,2,_,1,_,9,_,11,_,6,_,6,_
1,1,_,1,_,2,_,1,_,9,_,11,_,6,_,2,_
1,4,_,2,_,3,_,2,_,10,_,13,_,8,_,10,_
1,5,_,1,_,8,_,1,_,2,_,3,_,1,_,1,_
1,3,_,2,_,1,_,1,_,1,_,2,_,3,_,3,_
1,3,_,2,_,8,_,2,_,5,_,9,_,2,_,1,_
1,6,_,1,_,1,_,2,_,1,_,1,_,1,_,1,_
1,6,_,2,_,1,_,2,_,1,_,7,_,7,_,6,_
1,6,_,2,_,1,_,2,_,1,_,1,_,3,_,3,_
1,1,_,2,_,4,_,2,_,2,_,3,_,2,_,4,_
1,3,_,2,_,1,_,4,_,2,_,3,_,1,_,2,_
1,1,_,1,_,2,_,1,_,5,_,5,_,4,_,5,_
1,4,_,1,_,5,_,1,_,1,_,2,_,7,_,6,_
1,4,_,2,_,8,_,2,_,1,_,2,_,3,_,3,_
1,1,_,2,_,1,_,2,_,2,_,3,_,1,_,1,_
1,1,_,1,_,2,_,1,_,1,_,7,_,1,_,1,_
1,5,_,4,_,6,_,2,_,10,_,13,_,8,_,10,_
1,3,_,2,_,2,_,1,_,1,_,2,_,1,_,1,_
1,3,_,2,_,5,_,2,_,1,_,10,_,6,_,4,_
1,2,_,3,_,7,_,5,_,6,_,6,_,9,_,8,_
1,1,_,1,_,1,_,2,_,3,_,12,_,1,_,2,_
1,1,_,2,_,1,_,2,_,6,_,6,_,10,_,4,_
1,4,_,2,_,8,_,1,_,4,_,4,_,7,_,12,_
1,3,_,2,_,4,_,1,_,1,_,1,_,2,_,2,_
1,3,_,2,_,1,_,2,_,5,_,9,_,1,_,2,_
1,1,_,1,_,5,_,1,_,1,_,2,_,3,_,3,_
1,5,_,3,_,7,_,2,_,2,_,3,_,1,_,2,_
1,1,_,1,_,3,_,1,_,1,_,10,_,6,_,7,_
1,1,_,1,_,1,_,2,_,2,_,3,_,1,_,1,_
1,4,_,2,_,9,_,1,_,6,_,6,_,4,_,6,_
1,1,_,2,_,1,_,2,_,2,_,3,_,1,_,2,_
1,1,_,2,_,4,_,2,_,4,_,4,_,4,_,9,_
1,1,_,1,_,3,_,1,_,5,_,9,_,7,_,6,_
1,2,_,3,_,1,_,1,_,2,_,3,_,6,_,9,_
1,1,_,1,_,4,_,1,_,1,_,1,_,1,_,2,_
1,1,_,1,_,2,_,1,_,1,_,4,_,5,_,5,_
1,2,_,3,_,3,_,2,_,3,_,5,_,2,_,2,_
1,10,_,2,_,1,_,6,_,1,_,1,_,1,_,1,_
1,1,_,1,_,2,_,1,_,1,_,2,_,2,_,4,_
1,1,_,1,_,2,_,1,_,1,_,2,_,1,_,4,_
1,5,_,4,_,6,_,3,_,8,_,2,_,4,_,4,_
1,1,_,1,_,3,_,2,_,7,_,8,_,5,_,5,_
1,1,_,2,_,4,_,1,_,1,_,1,_,1,_,2,_
1,7,_,4,_,1,_,1,_,1,_,1,_,2,_,2,_
1,1,_,1,_,3,_,2,_,1,_,1,_,2,_,2,_
1,1,_,1,_,2,_,2,_,1,_,14,_,6,_,1,_
1,4,_,2,_,3,_,2,_,3,_,5,_,3,_,1,_
1,5,_,4,_,6,_,3,_,8,_,6,_,4,_,4,_
1,9,_,1,_,2,_,1,_,3,_,5,_,4,_,6,_
1,1,_,1,_,3,_,1,_,1,_,10,_,6,_,7,_
1,5,_,4,_,6,_,3,_,8,_,10,_,4,_,4,_
1,2,_,3,_,7,_,5,_,6,_,6,_,9,_,8,_
1,4,_,2,_,3,_,2,_,10,_,13,_,8,_,10,_
1,11,_,1,_,2,_,1,_,1,_,2,_,3,_,3,_
1,4,_,1,_,2,_,2,_,1,_,7,_,7,_,6,_
1,1,_,1,_,5,_,2,_,11,_,15,_,1,_,1,_
1,4,_,2,_,8,_,1,_,7,_,8,_,5,_,5,_
1,2,_,3,_,7,_,5,_,6,_,6,_,9,_,8,_
1,4,_,2,_,9,_,1,_,6,_,6,_,4,_,11,_
1,3,_,2,_,4,_,2,_,9,_,11,_,2,_,2,_
1,3,_,2,_,1,_,4,_,7,_,8,_,5,_,5,_
1,2,_,2,_,1,_,2,_,1,_,1,_,2,_,3,_
1,6,_,5,_,1,_,2,_,1,_,7,_,1,_,1,_
1,1,_,1,_,4,_,2,_,4,_,4,_,1,_,1,_
1,1,_,1,_,2,_,1,_,1,_,1,_,2,_,4,_
1,1,_,1,_,2,_,2,_,3,_,12,_,2,_,7,_
1,2,_,3,_,7,_,1,_,1,_,2,_,3,_,3,_
